"","Tree_ID","best_iteration","quality_0","quality_1","quality_2","quality_3","quality_4","quality_5","quality_6","quality_7","quality_8","quality_9","times_outlier_0","times_outlier_1","times_outlier_2","times_outlier_3","times_outlier_4","times_outlier_5","times_outlier_6","times_outlier_7","times_outlier_8","times_outlier_9"
"1","10",1,1.072507441329,1.62465708057811,NA,NA,NA,NA,NA,NA,1,NA,0,0,1,9,4,7,3,7,0,2
"2","1008",4,1.25518451311116,1.40399440220187,1.70830087153095,NA,1.96436505559224,1.84086381650807,NA,0.58055023347565,NA,NA,0,0,0,12,0,0,5,0,2,6
"3","1009a",2,NA,NA,3,NA,NA,NA,NA,0,NA,NA,1,1,0,4,3,5,2,0,2,1
"4","1009b",0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,4,1,1,1,1,1
"5","1014",0,2,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,1,1,6,2,14,0,2,5
"6","1016",8,NA,NA,1.76075241289194,NA,NA,0.264256037213983,NA,NA,2.30963267755265,NA,3,5,0,4,2,0,1,2,0,2
"7","1019",3,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,1,0,3,2,1,8,5,0
"8","1035a",7,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,2,1,3,7,0,1,0,1,7
"9","1035b",2,NA,1.48824654236626,2.16702802438537,NA,NA,1.6413746285301,0.433098417866526,1.1741293814194,NA,NA,3,0,0,1,4,0,0,0,1,5
"10","104",9,NA,NA,NA,1.4235143060365,NA,NA,1.24216359342383,NA,1,2.48815566134077,8,3,1,0,1,5,0,3,0,0
"11","1043",3,1.63592172459256,NA,NA,2.1743211998264,NA,NA,1.37294093967463,NA,1.96923932127613,1.61198153976496,0,1,2,0,1,1,0,5,0,0
"12","1045",8,1,1.76961230825543,NA,NA,NA,NA,NA,NA,2.26461411364514,NA,0,0,3,2,3,1,2,3,0,3
"13","1055",2,0.884469360180393,NA,2.13686973118729,0.102159208654662,1.56386708065768,NA,NA,NA,2.10304183013612,NA,0,7,0,0,0,4,3,1,0,4
"14","1074",5,NA,NA,NA,NA,NA,3,NA,NA,NA,0,5,3,5,2,3,1,3,6,5,1
"15","1075a",8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,4,4,5,1,1,2,0,2
"16","1075b",5,NA,NA,NA,NA,NA,3,NA,NA,NA,0,10,3,2,6,3,0,5,3,4,0
"17","1080",2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,4,3,10,6,2,3
"18","1081",6,NA,1.94146644275829,1.04033994813831,2,NA,2.00951913034866,2.14543865642155,NA,1.37966036817238,NA,1,0,0,0,18,0,0,2,0,8
"19","1087a",1,NA,2.61613461607168,NA,2.01175546354896,1.83741400492275,NA,NA,NA,NA,0,1,0,2,0,0,5,1,2,1,0
"20","1087b",0,2.50159209157941,NA,NA,0.304798429298477,2.20146421657213,NA,NA,1.66497896159237,NA,NA,0,8,2,0,0,3,1,0,4,6
"21","1089",8,NA,NA,NA,NA,1.67837615672687,NA,NA,1.33980825937377,2,NA,1,11,9,1,0,1,2,0,0,3
"22","1090",8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,1,2,12,1,1,1,0,6
"23","1093",8,NA,NA,NA,NA,NA,1.22500567806489,1.24366357615067,NA,2,NA,4,7,3,1,9,0,0,1,0,1
"24","1101",0,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,2,1,1,0,1,2,2,7
"25","1107",3,NA,NA,NA,3,NA,NA,NA,0,NA,NA,2,3,2,0,1,4,8,0,2,4
"26","1108",5,1.03781305755757,NA,NA,NA,NA,2,NA,1,NA,NA,0,10,5,2,1,0,1,0,6,9
"27","1109",9,NA,0.868053812214506,NA,NA,NA,NA,1,NA,1.56230534720906,2.27528503115296,1,0,2,1,1,2,0,2,0,0
"28","1111",0,1.99763125690983,1.44126839138107,NA,NA,1.15332649873824,1.56781448295804,1.17114772772953,1.36159734816509,NA,1.14101206546336,0,0,1,5,0,0,0,0,12,0
"29","1116",1,NA,3,NA,NA,0,NA,NA,NA,NA,NA,1,0,2,3,0,1,1,6,1,1
"30","1118",5,1.30735329814637,1.64130760383452,NA,NA,NA,1.79501404137484,1.73099428070888,1.508536936442,NA,0.712412043443539,0,0,4,2,1,0,0,0,2,0
"31","1119",2,NA,NA,2.305177102795,NA,2,1.41252601870704,NA,NA,NA,0.648307954952802,2,1,0,5,0,0,3,4,5,0
