"","Tree_ID","pred_species","prob_species","ACERPS","CORYAV","FRAXEX","Other"
"1","1008","ACERPS",0.776,0.775739268012273,0.01037046958496,0.199628770321785,0.0142614920809813
"2","1087a","ACERPS",0.866,0.866346378147643,0.00429258108227643,0.121063598385313,0.00829744238476796
"3","1087b","ACERPS",0.845,0.845023826899241,0.00203678545148955,0.149217377083786,0.00372201056548309
"4","1111","FRAXEX",0.623,0.203976918209307,0.0143687647749994,0.622849222170486,0.158805094845207
"5","1135b","ACERPS",0.948,0.948110583849706,0.0144694390215444,0.023324531110097,0.0140954460186526
"6","1314","ACERPS",0.884,0.884183009536907,0.00519898982545798,0.100610827668107,0.0100071729695288
"7","1558","ACERPS",0.981,0.981380766682161,0.000921124214915567,0.0156319489262485,0.00206616017667516
"8","1638","ACERPS",0.906,0.905547779929597,0.003983162570994,0.0836347032181494,0.00683435428125923
"9","1867a","Other",0.793,0.02344217201271,0.0546297343391053,0.129160314235265,0.79276777941292
"10","1867b","CORYAV",0.986,0.000742217601806547,0.986491590226307,0.00476163534886933,0.00800455682301713
"11","1950","ACERPS",0.761,0.761034123335939,0.11615885329617,0.113179368680667,0.00962765468722298
"12","1975","ACERPS",0.661,0.661258756602491,0.106906398555778,0.193447216382145,0.0383876284595856
"13","2053b","CORYAV",0.967,0.0158188789637445,0.967443638977925,0.0156766851955449,0.00106079686278564
"14","2094","ACERPS",0.928,0.92776333216742,0.00510449374668652,0.0615693841525164,0.0055627899333775
"15","2146a","ACERPS",0.646,0.646499935983517,0.333353925725718,0.0117203097421327,0.00842582854863213
"16","2146b","CORYAV",0.927,0.0473103951844561,0.927319026360169,0.0132293759351624,0.0121412025202121
"17","2146c","CORYAV",0.922,0.0238459204634937,0.921995937608203,0.030579008224987,0.0235791337033162
"18","2146d","CORYAV",0.962,0.0240422848713594,0.961765149369195,0.0099720795158561,0.00422048624358965
"19","2316","ACERPS",0.926,0.926120626395452,0.0222005487866243,0.0438400366977602,0.00783878812016381
"20","281a","ACERPS",0.927,0.926750765612798,0.00303422094137598,0.0300637913873873,0.0401512220584382
"21","281b","ACERPS",0.981,0.981198891908462,0.00156322823350516,0.0128451260440685,0.00439275381396397
"22","384","Other",0.871,0.110188594002463,0.00327130151484682,0.0154828154168261,0.871057289065864
"23","410","ACERPS",0.694,0.694213741465446,0.0014734638779234,0.296475710218895,0.00783708443773542
"24","421","Other",0.962,0.0175355634635901,0.00510413042582351,0.0149937871251666,0.96236651898542
"25","427a","FRAXEX",0.486,0.461901444595252,0.019640926155346,0.486088310182777,0.0323693190666245
"26","486","ACERPS",0.952,0.952102828335213,0.00100158212838179,0.0449519537177393,0.00194363581866606
"27","491","FRAXEX",0.564,0.43210688571035,0.00111290033775392,0.56442231611276,0.00235789783913658
"28","554","ACERPS",0.969,0.968529634479149,0.00204295783928628,0.0264669860298426,0.00296042165172267
"29","774","ACERPS",0.954,0.953715705459233,0.0025447906763739,0.0400994766086108,0.00364002725578279
"30","8010","ACERPS",0.936,0.936463023869347,0.00473638459859573,0.0478115128376364,0.0109890786944211
"31","8026a","ACERPS",0.986,0.985770113130688,0.00185515572653099,0.0084882627906647,0.00388646835211644
"32","8026b","ACERPS",0.97,0.970314098745872,0.0081228301748707,0.0145751020593571,0.00698796901990058
"33","8033","ACERPS",0.907,0.906517104993378,0.0315519035375838,0.0550010198382221,0.00692997163081638
"34","8047a","Other",0.496,0.140180827004744,0.30017701840355,0.0635968488835313,0.496045305708175
"35","8047b","CORYAV",0.883,0.0370896272374903,0.883260643980619,0.0331203725015671,0.0465293562803237
"36","8088c","ACERPS",0.824,0.824008608550085,0.024993276364516,0.126567054241821,0.0244310608435774
"37","8089","ACERPS",0.988,0.987966852684627,0.000496615719317704,0.0100318498724387,0.00150468172361625
"38","8097","ACERPS",0.763,0.763378573193704,0.0108410250599678,0.211132957834955,0.0146474439113733
"39","8112","ACERPS",0.863,0.863320386397209,0.0438574881786862,0.0781344850799503,0.0146876403441542
"40","8113a","Other",0.537,0.111030842820911,0.309553591471809,0.0427119585221427,0.536703607185137
"41","8113b","CORYAV",0.822,0.0542144844937883,0.821721492127501,0.0501197027919457,0.0739443205867651
"42","8115a","Other",0.626,0.0799039002887148,0.236210314868,0.0575868923439384,0.626298892499346
"43","8115b","ACERPS",0.93,0.929907057988741,0.00773811439184149,0.0534704074078442,0.0088844202115728
"44","8122a","ACERPS",0.992,0.991635276026088,0.000752391396496847,0.00500203674066031,0.00261029583675466
"45","8122b","ACERPS",0.975,0.974905751089485,0.001354594096549,0.0215166297487489,0.00222302506521756
"46","8149a","ACERPS",0.983,0.983067524143179,0.000635997644344032,0.014417573722515,0.00187890448996224
"47","8149b","ACERPS",0.981,0.981349057353135,0.00157271405925178,0.0139180689975192,0.00316015959009352
"48","8153","ACERPS",0.862,0.862326939634277,0.0615534263198092,0.0247293803559724,0.0513902536899414
"49","8154","ACERPS",0.784,0.78439314766683,0.0102438326060205,0.192185185171539,0.013177834555611
"50","8156","ACERPS",0.973,0.973316119583849,0.00201901502702293,0.0204133248419908,0.00425154054713691
"51","8157","ACERPS",0.973,0.973468158183347,0.00147128698360183,0.0221217749483853,0.00293877988466563
"52","8158","ACERPS",0.978,0.977602323094501,0.00326674677332247,0.0164069118778476,0.002724018254329
"53","8163a","CORYAV",0.617,0.266094908687341,0.616852429933729,0.0900010621496877,0.027051599229242
"54","8163b","ACERPS",0.851,0.851144114913108,0.0690966272326171,0.0643060754621929,0.0154531823920814
"55","8163c","ACERPS",0.692,0.692247666367662,0.127001921504963,0.0894300081472329,0.0913204039801425
"56","8165","ACERPS",0.954,0.953633497457693,0.00524192595892936,0.0334078994813237,0.00771667710205391
"57","8170","ACERPS",0.947,0.947299560701575,0.0016753958854578,0.0467484427853929,0.0042766006275744
"58","8191","ACERPS",0.938,0.938441039473355,0.00246674360134004,0.0523383827547006,0.00675383417060476
"59","8212","ACERPS",0.807,0.806970587707439,0.00751744402674578,0.157390976981386,0.028120991284429
"60","8300","CORYAV",0.6,0.0563674776936204,0.599678123478053,0.0400574967090187,0.303896902119308
"61","8301","CORYAV",0.393,0.371195459288924,0.393486466340135,0.166714829907429,0.0686032444635134
"62","8302","ACERPS",0.962,0.962103671500548,0.0067173305180352,0.0288399090548881,0.0023390889265291
"63","8305","ACERPS",0.979,0.979057838332768,0.00376460558031627,0.0156717282485778,0.00150582783833817
"64","8306","ACERPS",0.94,0.940151609956476,0.00331309663564397,0.0536120066030572,0.00292328680482334
"65","8308","ACERPS",0.401,0.401383384960562,0.186525399022444,0.38846967811635,0.0236215379006447
"66","8309","CORYAV",0.781,0.0422746382679392,0.780668190299308,0.0775380387428922,0.0995191326898606
"67","8315","CORYAV",0.926,0.0338803895679317,0.926296052169508,0.0095724741510827,0.0302510841114772
"68","8316","FRAXEX",0.614,0.0661130325387828,0.310570049952531,0.613845254985335,0.00947166252335105
"69","8334","ACERPS",0.825,0.824973121738906,0.00713561810863751,0.151336078886231,0.0165551812662252
"70","8336","ACERPS",0.611,0.611123228585298,0.209406404926989,0.153374381822553,0.0260959846651597
"71","8337","ACERPS",0.855,0.855435416209556,0.0246727029196272,0.10662848389382,0.0132633969769967
"72","8340","CORYAV",0.523,0.0497524908428364,0.523008699333373,0.162715577316082,0.264523232507709
"73","8341","FRAXEX",0.427,0.195254663290386,0.301952925324545,0.427474636185089,0.0753177751999799
"74","8342","ACERPS",0.978,0.977531762273065,0.00424025096856221,0.0155531396230237,0.00267484713534879
"75","8343","ACERPS",0.815,0.814769256600151,0.0026899218510119,0.175927328074759,0.0066134934740777
"76","8351","ACERPS",0.895,0.894774683878961,0.00811999108659109,0.0883625518175622,0.00874277321688587
"77","8352","ACERPS",0.956,0.956031528857699,0.00339479330408456,0.0353636151298597,0.00521006270835683
"78","8353","ACERPS",0.851,0.851104139603847,0.00485531822458248,0.129073768304687,0.014966773866883
"79","8357","ACERPS",0.935,0.935030097269407,0.0197050666165684,0.0400635631202997,0.0052012729937249
"80","8361","FRAXEX",0.706,0.0671240743134642,0.103110534348288,0.705843312029202,0.123922079309045
"81","8364","ACERPS",0.634,0.634022986312833,0.0640151251784322,0.170393503786512,0.131568384722223
"82","8365","CORYAV",0.553,0.301760589912866,0.552644890726617,0.0450696814081484,0.100524837952369
"83","8366","CORYAV",0.801,0.0145873130152255,0.800839108909934,0.162216901515508,0.0223566765593327
"84","8367","ACERPS",0.964,0.964242571267514,0.00493053210250149,0.025972981847423,0.00485391478256138
"85","8368","CORYAV",0.447,0.073927745590438,0.447349001430755,0.181453973308697,0.297269279670109
"86","8369","ACERPS",0.716,0.716297117025795,0.0688949872792841,0.16592955363006,0.0488783420648605
"87","8370","ACERPS",0.766,0.765790566657134,0.00483811461908953,0.220422262042646,0.00894905668113017
"88","8372","CORYAV",0.707,0.0589857630571082,0.706591292045835,0.168673901286965,0.0657490436100919
"89","8377","CORYAV",0.974,0.00637506606859026,0.974140513374936,0.00885218523217185,0.0106322353243021
"90","8378","CORYAV",0.955,0.00654726216518337,0.955431007060835,0.0329406142826651,0.00508111649131712
"91","8379","CORYAV",0.97,0.00221814166618844,0.969782589617527,0.0183341744115639,0.00966509430472026
"92","8388","CORYAV",0.468,0.0418868963228847,0.468111995804273,0.199802706092193,0.290198401780649
"93","8389","Other",0.526,0.0095562993152657,0.396610529447266,0.0675416668623808,0.526291504375088
"94","8391","CORYAV",0.432,0.180533555216451,0.43164601955867,0.0658973731340041,0.321923052090875
"95","8393","ACERPS",0.965,0.965460385901604,0.00157267774935598,0.0287925014583278,0.0041744348907121
"96","8394","CORYAV",0.775,0.113668667660475,0.774874488988713,0.065865968082616,0.0455908752681956
"97","8395","CORYAV",0.34,0.257059945329162,0.340206613849713,0.229678231100844,0.173055209720281
"98","8396","CORYAV",0.607,0.0926407199928789,0.606799653641255,0.0553164221543593,0.245243204211507
"99","8397","ACERPS",0.951,0.951252449301906,0.00231643281446887,0.0405685653652042,0.00586255251842079
"100","8400","ACERPS",0.846,0.846085640004468,0.00439190770182023,0.141631946154994,0.00789050613871802
"101","8401","ACERPS",0.802,0.802330155361067,0.0316850583678334,0.14694165658735,0.0190431296837496
"102","8415","CORYAV",0.404,0.358097112561234,0.403570909799979,0.196528104788808,0.0418038728499798
"103","8423","Other",0.316,0.0689010995732347,0.300829855945422,0.314603790055989,0.315665254425354
"104","8425","CORYAV",0.408,0.0693578604365398,0.407858057393517,0.338139218210058,0.184644863959885
"105","8426","CORYAV",0.654,0.0417498684560533,0.653862594971651,0.137597598564735,0.16678993800756
"106","8427","ACERPS",0.441,0.441297359778044,0.184447936525284,0.349141928616169,0.0251127750805034
"107","8428","ACERPS",0.856,0.856256933220211,0.0104514058561536,0.114090677121006,0.0192009838026289
"108","8429","FRAXEX",0.404,0.32310458405151,0.152833341896745,0.404012398132787,0.120049675918958
"109","8430","CORYAV",0.488,0.0091270703937344,0.487990443099597,0.0245168010525379,0.478365685454131
"110","8432","ACERPS",0.967,0.966839320595695,0.00425632439994241,0.0209080052574513,0.00799634974691091
"111","8433","ACERPS",0.978,0.977729798945219,0.00177813725308897,0.0162660243460839,0.00422603945560851
"112","8434","ACERPS",0.753,0.753088320330892,0.0196449878611999,0.218883915311035,0.00838277649687307
"113","8436","ACERPS",0.389,0.388601244869937,0.208293071117045,0.179762462896246,0.223343221116773
"114","8437","ACERPS",0.88,0.880272944868202,0.00959914597371312,0.101717635262198,0.00841027389588634
"115","8442","CORYAV",0.462,0.198973266612591,0.461534880550975,0.15972141071757,0.179770442118865
"116","9083","ACERPS",0.974,0.974418320832023,0.00103570541739438,0.0214415866372594,0.00310438711332322
"117","9090","ACERPS",0.959,0.958803981133912,0.00121776783878755,0.0374804375392465,0.00249781348805389
"118","9099b","ACERPS",0.97,0.970351824809664,0.00315161815679052,0.022809706343148,0.00368685069039716
