"","Tree_ID","pred_species","prob_species","ACERPS","CORYAV","FRAXEX","Other"
"1","1008","ACERPS",0.752,0.752,0.022,0.19,0.036
"2","1087a","ACERPS",0.803,0.803,0.006,0.162,0.029
"3","1087b","ACERPS",0.735,0.735,0.011,0.234,0.02
"4","1111","ACERPS",0.469,0.469,0.033,0.241,0.257
"5","1135b","ACERPS",0.638,0.638,0.162,0.121,0.079
"6","1314","ACERPS",0.758,0.758,0.015,0.189,0.038
"7","1558","ACERPS",0.926,0.926,0.002,0.071,0.001
"8","1638","ACERPS",0.859,0.859,0.007,0.126,0.008
"9","1867a","Other",0.594,0.056,0.189,0.161,0.594
"10","1867b","CORYAV",0.847,0.024,0.847,0.021,0.108
"11","1950","ACERPS",0.689,0.689,0.159,0.141,0.011
"12","1975","ACERPS",0.619,0.619,0.098,0.243,0.04
"13","2053b","CORYAV",0.395,0.365,0.395,0.229,0.011
"14","2094","ACERPS",0.843,0.843,0.021,0.126,0.01
"15","2146a","ACERPS",0.498,0.498,0.337,0.149,0.016
"16","2146b","CORYAV",0.438,0.288,0.438,0.179,0.095
"17","2146c","CORYAV",0.4,0.198,0.4,0.227,0.175
"18","2146d","CORYAV",0.601,0.24,0.601,0.078,0.081
"19","2316","ACERPS",0.801,0.801,0.094,0.099,0.006
"20","281a","ACERPS",0.714,0.714,0.017,0.174,0.095
"21","281b","ACERPS",0.893,0.893,0.016,0.086,0.005
"22","384","Other",0.69,0.208,0.009,0.093,0.69
"23","410","ACERPS",0.524,0.524,0,0.451,0.025
"24","421","Other",0.723,0.14,0.044,0.093,0.723
"25","427a","ACERPS",0.579,0.579,0.024,0.325,0.072
"26","486","ACERPS",0.799,0.799,0,0.2,0.001
"27","491","ACERPS",0.561,0.561,0.001,0.435,0.003
"28","554","ACERPS",0.793,0.793,0.029,0.131,0.047
"29","774","ACERPS",0.801,0.801,0.004,0.19,0.005
"30","8010","ACERPS",0.89,0.89,0.001,0.089,0.02
"31","8026a","ACERPS",0.843,0.843,0.028,0.114,0.015
"32","8026b","ACERPS",0.492,0.492,0.225,0.227,0.056
"33","8033","ACERPS",0.867,0.867,0.068,0.063,0.002
"34","8047a","CORYAV",0.423,0.133,0.423,0.059,0.385
"35","8047b","CORYAV",0.663,0.061,0.663,0.047,0.229
"36","8088c","ACERPS",0.513,0.513,0.136,0.33,0.021
"37","8089","ACERPS",0.924,0.924,0.002,0.071,0.003
"38","8097","ACERPS",0.736,0.736,0.032,0.222,0.01
"39","8112","ACERPS",0.729,0.729,0.116,0.128,0.027
"40","8113a","Other",0.487,0.081,0.329,0.103,0.487
"41","8113b","CORYAV",0.698,0.04,0.698,0.061,0.201
"42","8115a","CORYAV",0.491,0.135,0.491,0.122,0.252
"43","8115b","ACERPS",0.826,0.826,0.027,0.125,0.022
"44","8122a","ACERPS",0.92,0.92,0.005,0.069,0.006
"45","8122b","ACERPS",0.827,0.827,0.018,0.143,0.012
"46","8149a","ACERPS",0.949,0.949,0.005,0.043,0.003
"47","8149b","ACERPS",0.934,0.934,0.004,0.029,0.033
"48","8153","ACERPS",0.544,0.544,0.186,0.074,0.196
"49","8154","ACERPS",0.63,0.63,0.054,0.296,0.02
"50","8156","ACERPS",0.96,0.96,0.003,0.02,0.017
"51","8157","ACERPS",0.933,0.933,0.001,0.023,0.043
